month,LinearRegression_rmse,LinearRegression_mae,SimpleRNN_rmse,SimpleRNN_mae,LSTM_rmse,LSTM_mae
1,0.3605,0.2799,0.7835,0.6734,0.4172,0.3391
2,0.5198,0.4144,0.8392,0.6858,0.4563,0.3667
3,0.5357,0.4200,0.7022,0.5727,0.5345,0.4351
4,0.5621,0.4366,0.6710,0.5488,0.5778,0.4686
5,0.5486,0.4334,0.7581,0.6287,0.5525,0.4472
6,0.5238,0.4163,0.7281,0.6105,0.4984,0.3894
7,0.5166,0.4097,0.7754,0.6380,0.4812,0.3717
8,0.5352,0.4100,0.7902,0.6592,0.4705,0.3720
9,0.5049,0.4038,0.8066,0.6755,0.4741,0.3813
10,0.4816,0.3826,0.7596,0.6416,0.4656,0.3755
11,0.4800,0.3791,0.7402,0.6250,0.4412,0.3598
12,0.4526,0.3919,0.8005,0.6787,0.4260,0.3506
