E7 Optimized vs Baselines
E7 params: {'main_hidden': 256, 'aux_hidden': 32, 'dropout': 0.1, 'aux_dropout': 0.6000000000000001, 'lr': 0.004601646491256619, 'batch_size': 32, 'weight_decay': 3.5931654632560546e-06, 'aux_seq_len': 6, 'best_val_loss': 0.0016549326828680933}
Ensemble: 5 seeds
============================================================

Metric          LR              RNN             DE-best         DE-ens5        
RMSE            0.5317          0.5255          0.5029          0.5014         
MAE             0.4174          0.4097          0.4077          0.3967         
MAPE            6.7960          6.9026          6.8363          6.4625         
R2              0.9769          0.9774          0.9793          0.9795         

Monthly RMSE:
Mo   LR        RNN       DE-best   DE-ens5  
1    0.3700    0.3652    0.4580    0.4062   
2    0.4779    0.5352    0.5388    0.5144   
3    0.5682    0.5866    0.5469    0.5399   
4    0.5609    0.6236    0.5437    0.5681   
5    0.6620    0.6021    0.5013    0.5520   
6    0.5369    0.6432    0.4759    0.5354   
7    0.5499    0.5185    0.5017    0.5169   
8    0.5254    0.4890    0.5080    0.4771   
9    0.5316    0.4804    0.5175    0.4853   
10   0.5038    0.4943    0.5173    0.4974   
11   0.5706    0.4710    0.4735    0.4642   
12   0.4713    0.4247    0.4396    0.4347   
