E7 Dual-Encoder LSTM vs Baselines
Target: Sea Ice Area, Output: 12 months
Data: 1979-2025 (SST masked pre-1981)
============================================================

Metric          LinearReg       SimpleRNN       Dual-Enc       
------------------------------------------------------------
RMSE            0.5317          0.5525          0.5380         
MAE             0.4174          0.4383          0.4234         
MAPE            6.7960          7.4474          6.2880         
R2              0.9769          0.9751          0.9764         

Monthly RMSE:
Month  LinearReg       SimpleRNN       Dual-Enc       
1      0.3700          0.4643          0.4990         
2      0.4779          0.6146          0.5847         
3      0.5682          0.7055          0.6028         
4      0.5609          0.6134          0.6012         
5      0.6620          0.6414          0.5943         
6      0.5369          0.6087          0.5259         
7      0.5499          0.5448          0.4688         
8      0.5254          0.4943          0.5393         
9      0.5316          0.4747          0.5920         
10     0.5038          0.4688          0.5248         
11     0.5706          0.4769          0.4625         
12     0.4713          0.4479          0.4208         
