region,region_key,aux,lag_month,weight
白令海,bering,AO,1,0.16655412912368775
白令海,bering,AO,2,0.16641166806221008
白令海,bering,AO,3,0.1665010243654251
白令海,bering,AO,4,0.16667299568653107
白令海,bering,AO,5,0.16685741245746613
白令海,bering,AO,6,0.16700278520584105
白令海,bering,NAO,1,0.1665227085351944
白令海,bering,NAO,2,0.16661279499530793
白令海,bering,NAO,3,0.1666531056165695
白令海,bering,NAO,4,0.1666787803173065
白令海,bering,NAO,5,0.16673824489116668
白令海,bering,NAO,6,0.16679434180259706
白令海,bering,PNA,1,0.1669740468263626
白令海,bering,PNA,2,0.16628527045249938
白令海,bering,PNA,3,0.16599704921245576
白令海,bering,PNA,4,0.1661466896533966
白令海,bering,PNA,5,0.16676661372184753
白令海,bering,PNA,6,0.167830291390419
白令海,bering,Nino3.4,1,0.16674772500991822
白令海,bering,Nino3.4,2,0.1666837990283966
白令海,bering,Nino3.4,3,0.1666581302881241
白令海,bering,Nino3.4,4,0.16664550602436065
白令海,bering,Nino3.4,5,0.1666373759508133
白令海,bering,Nino3.4,6,0.1666274696588516
楚科奇海,chukchi,AO,1,0.16776513159275055
楚科奇海,chukchi,AO,2,0.16694223284721374
楚科奇海,chukchi,AO,3,0.16648748219013215
楚科奇海,chukchi,AO,4,0.16630131006240845
楚科奇海,chukchi,AO,5,0.16625480949878693
楚科奇海,chukchi,AO,6,0.16624906659126282
楚科奇海,chukchi,NAO,1,0.1678455203771591
楚科奇海,chukchi,NAO,2,0.16693965792655946
楚科奇海,chukchi,NAO,3,0.16647193133831023
楚科奇海,chukchi,NAO,4,0.16628100574016572
楚科奇海,chukchi,NAO,5,0.1662308841943741
楚科奇海,chukchi,NAO,6,0.16623106896877288
楚科奇海,chukchi,PNA,1,0.16737948656082152
楚科奇海,chukchi,PNA,2,0.16683924198150635
楚科奇海,chukchi,PNA,3,0.16655609905719757
楚科奇海,chukchi,PNA,4,0.1664350926876068
楚科奇海,chukchi,PNA,5,0.16639409959316254
楚科奇海,chukchi,PNA,6,0.16639595925807954
楚科奇海,chukchi,Nino3.4,1,0.16733815371990204
楚科奇海,chukchi,Nino3.4,2,0.1668883740901947
楚科奇海,chukchi,Nino3.4,3,0.1666223555803299
楚科奇海,chukchi,Nino3.4,4,0.1664636254310608
楚科奇海,chukchi,Nino3.4,5,0.16637147665023805
楚科奇海,chukchi,Nino3.4,6,0.16631602346897126
巴伦支海,barents,AO,1,0.1687680035829544
巴伦支海,barents,AO,2,0.16721760630607604
巴伦支海,barents,AO,3,0.16638121306896209
巴伦支海,barents,AO,4,0.1659953385591507
巴伦支海,barents,AO,5,0.1658472776412964
巴伦支海,barents,AO,6,0.16579058170318603
巴伦支海,barents,NAO,1,0.16815782189369202
巴伦支海,barents,NAO,2,0.16705631017684935
巴伦支海,barents,NAO,3,0.16643791794776916
巴伦支海,barents,NAO,4,0.16615545749664307
巴伦支海,barents,NAO,5,0.1660790801048279
巴伦支海,barents,NAO,6,0.1661133885383606
巴伦支海,barents,PNA,1,0.16846130192279815
巴伦支海,barents,PNA,2,0.167193141579628
巴伦支海,barents,PNA,3,0.16645801961421966
巴伦支海,barents,PNA,4,0.16609195470809937
巴伦支海,barents,PNA,5,0.16592547595500945
巴伦支海,barents,PNA,6,0.1658701330423355
巴伦支海,barents,Nino3.4,1,0.1673601508140564
巴伦支海,barents,Nino3.4,2,0.16681880950927735
巴伦支海,barents,Nino3.4,3,0.16658826172351837
巴伦支海,barents,Nino3.4,4,0.1664708137512207
巴伦支海,barents,Nino3.4,5,0.1664028763771057
巴伦支海,barents,Nino3.4,6,0.16635903120040893
喀拉海,kara,AO,1,0.16879337131977082
喀拉海,kara,AO,2,0.16737288236618042
喀拉海,kara,AO,3,0.16644913852214813
喀拉海,kara,AO,4,0.16596719324588777
喀拉海,kara,AO,5,0.1657548129558563
喀拉海,kara,AO,6,0.16566259860992433
喀拉海,kara,NAO,1,0.1686160147190094
喀拉海,kara,NAO,2,0.16732600927352906
喀拉海,kara,NAO,3,0.1664789527654648
喀拉海,kara,NAO,4,0.1660274714231491
喀拉海,kara,NAO,5,0.16582010984420775
喀拉海,kara,NAO,6,0.1657314270734787
喀拉海,kara,PNA,1,0.16852058470249176
喀拉海,kara,PNA,2,0.16728927791118622
喀拉海,kara,PNA,3,0.16649596095085145
喀拉海,kara,PNA,4,0.1660672128200531
喀拉海,kara,PNA,5,0.16585517227649688
喀拉海,kara,PNA,6,0.16577178239822388
喀拉海,kara,Nino3.4,1,0.16806806325912477
喀拉海,kara,Nino3.4,2,0.16713438630104066
喀拉海,kara,Nino3.4,3,0.16658899784088135
喀拉海,kara,Nino3.4,4,0.16624972820281983
喀拉海,kara,Nino3.4,5,0.16604165732860565
喀拉海,kara,Nino3.4,6,0.1659171998500824
拉普捷夫海,laptev,AO,1,0.16895513236522675
拉普捷夫海,laptev,AO,2,0.16738347411155702
拉普捷夫海,laptev,AO,3,0.1663884162902832
拉普捷夫海,laptev,AO,4,0.16590212285518646
拉普捷夫海,laptev,AO,5,0.16571569442749023
拉普捷夫海,laptev,AO,6,0.1656550794839859
拉普捷夫海,laptev,NAO,1,0.1687826246023178
拉普捷夫海,laptev,NAO,2,0.16732897460460663
拉普捷夫海,laptev,NAO,3,0.16641281843185424
拉普捷夫海,laptev,NAO,4,0.16596093773841858
拉普捷夫海,laptev,NAO,5,0.16578400433063506
拉普捷夫海,laptev,NAO,6,0.1657305896282196
拉普捷夫海,laptev,PNA,1,0.1689044177532196
拉普捷夫海,laptev,PNA,2,0.16733195781707763
拉普捷夫海,laptev,PNA,3,0.16640860438346863
拉普捷夫海,laptev,PNA,4,0.16594634354114532
拉普捷夫海,laptev,PNA,5,0.16573823988437653
拉普捷夫海,laptev,PNA,6,0.16567046642303468
拉普捷夫海,laptev,Nino3.4,1,0.16778865754604338
拉普捷夫海,laptev,Nino3.4,2,0.16710094809532167
拉普捷夫海,laptev,Nino3.4,3,0.16662491261959075
拉普捷夫海,laptev,Nino3.4,4,0.1663184195756912
拉普捷夫海,laptev,Nino3.4,5,0.1661356896162033
拉普捷夫海,laptev,Nino3.4,6,0.16603137254714967
格陵兰海,greenland,AO,1,0.16762828528881074
格陵兰海,greenland,AO,2,0.16686998009681703
格陵兰海,greenland,AO,3,0.16649435162544252
格陵兰海,greenland,AO,4,0.16635288298130035
格陵兰海,greenland,AO,5,0.16632669270038605
格陵兰海,greenland,AO,6,0.16632781624794007
格陵兰海,greenland,NAO,1,0.1676705688238144
格陵兰海,greenland,NAO,2,0.1669261038303375
格陵兰海,greenland,NAO,3,0.16652146577835084
格陵兰海,greenland,NAO,4,0.16633962094783783
格陵兰海,greenland,NAO,5,0.16627848148345947
格陵兰海,greenland,NAO,6,0.1662638157606125
格陵兰海,greenland,PNA,1,0.16751886904239655
格陵兰海,greenland,PNA,2,0.1668684422969818
格陵兰海,greenland,PNA,3,0.166537544131279
格陵兰海,greenland,PNA,4,0.16639578938484192
格陵兰海,greenland,PNA,5,0.16634242832660676
格陵兰海,greenland,PNA,6,0.1663369506597519
格陵兰海,greenland,Nino3.4,1,0.1668696016073227
格陵兰海,greenland,Nino3.4,2,0.16674459874629974
格陵兰海,greenland,Nino3.4,3,0.1666642189025879
格陵兰海,greenland,Nino3.4,4,0.1666094571352005
格陵兰海,greenland,Nino3.4,5,0.1665708005428314
格陵兰海,greenland,Nino3.4,6,0.16654131412506104
中北冰洋,central_arctic,AO,1,0.16669219732284546
中北冰洋,central_arctic,AO,2,0.16665051877498627
中北冰洋,central_arctic,AO,3,0.16664472818374634
中北冰洋,central_arctic,AO,4,0.16665345728397368
中北冰洋,central_arctic,AO,5,0.1666707694530487
中北冰洋,central_arctic,AO,6,0.1666883111000061
中北冰洋,central_arctic,NAO,1,0.16695587635040282
中北冰洋,central_arctic,NAO,2,0.16680288016796113
中北冰洋,central_arctic,NAO,3,0.16668317317962647
中北冰洋,central_arctic,NAO,4,0.16659189760684967
中北冰洋,central_arctic,NAO,5,0.16651320159435273
中北冰洋,central_arctic,NAO,6,0.16645296216011046
中北冰洋,central_arctic,PNA,1,0.1670093923807144
中北冰洋,central_arctic,PNA,2,0.16677516996860503
中北冰洋,central_arctic,PNA,3,0.1666171818971634
中北冰洋,central_arctic,PNA,4,0.16655339300632477
中北冰洋,central_arctic,PNA,5,0.166523215174675
中北冰洋,central_arctic,PNA,6,0.16652165055274964
中北冰洋,central_arctic,Nino3.4,1,0.1654908090829849
中北冰洋,central_arctic,Nino3.4,2,0.16595834791660308
中北冰洋,central_arctic,Nino3.4,3,0.1664681315422058
中北冰洋,central_arctic,Nino3.4,4,0.1669437438249588
中北冰洋,central_arctic,Nino3.4,5,0.16737352013587953
中北冰洋,central_arctic,Nino3.4,6,0.16776544749736785
