region,region_key,sector,config,type,rmse,delta,delta_pct,rmse_mean,rmse_std
白令海,bering,Pacific,+AO,single,0.097029,-0.001208,-1.23,0.097261,0.001092
白令海,bering,Pacific,纯冰基线,baseline,0.098237,0.0,0.0,0.098564,0.001437
白令海,bering,Pacific,+Nino3.4,single,0.099147,0.000911,0.93,0.099288,0.002582
白令海,bering,Pacific,+NAO,single,0.099429,0.001192,1.21,0.09969,0.002302
白令海,bering,Pacific,+PNA,single,0.100535,0.002298,2.34,0.100704,0.000769
楚科奇海,chukchi,Pacific,纯冰基线,baseline,0.080195,0.0,0.0,0.080581,0.000351
楚科奇海,chukchi,Pacific,+PNA,single,0.082915,0.00272,3.39,0.083355,0.000888
楚科奇海,chukchi,Pacific,+AO,single,0.083108,0.002912,3.63,0.083619,0.000893
楚科奇海,chukchi,Pacific,+NAO,single,0.083566,0.00337,4.2,0.084061,0.000831
楚科奇海,chukchi,Pacific,+Nino3.4,single,0.083942,0.003747,4.67,0.084404,0.00036
巴伦支海,barents,Atlantic,+NAO,single,0.094272,-0.006433,-6.39,0.096745,0.001124
巴伦支海,barents,Atlantic,+PNA,single,0.095019,-0.005685,-5.65,0.096454,0.001599
巴伦支海,barents,Atlantic,+AO,single,0.095504,-0.0052,-5.16,0.096929,0.001534
巴伦支海,barents,Atlantic,+Nino3.4,single,0.095777,-0.004927,-4.89,0.09716,0.000816
巴伦支海,barents,Atlantic,纯冰基线,baseline,0.100704,0.0,0.0,0.101862,0.002862
喀拉海,kara,Atlantic,+Nino3.4,single,0.115189,-0.004748,-3.96,0.118374,0.002332
喀拉海,kara,Atlantic,+PNA,single,0.115431,-0.004506,-3.76,0.118091,0.002004
喀拉海,kara,Atlantic,+AO,single,0.115773,-0.004164,-3.47,0.118487,0.001881
喀拉海,kara,Atlantic,+NAO,single,0.116478,-0.003459,-2.88,0.119303,0.001493
喀拉海,kara,Atlantic,纯冰基线,baseline,0.119937,0.0,0.0,0.121924,0.001626
拉普捷夫海,laptev,Atlantic,+PNA,single,0.118519,-0.000264,-0.22,0.120109,0.002092
拉普捷夫海,laptev,Atlantic,纯冰基线,baseline,0.118784,0.0,0.0,0.120431,0.001827
拉普捷夫海,laptev,Atlantic,+AO,single,0.119301,0.000517,0.44,0.121137,0.002647
拉普捷夫海,laptev,Atlantic,+Nino3.4,single,0.119775,0.000992,0.83,0.121079,0.001396
拉普捷夫海,laptev,Atlantic,+NAO,single,0.120457,0.001673,1.41,0.121896,0.002774
格陵兰海,greenland,Atlantic,纯冰基线,baseline,0.071062,0.0,0.0,0.071687,0.00156
格陵兰海,greenland,Atlantic,+Nino3.4,single,0.072026,0.000963,1.36,0.072595,0.001032
格陵兰海,greenland,Atlantic,+AO,single,0.072281,0.001218,1.71,0.073183,0.001108
格陵兰海,greenland,Atlantic,+PNA,single,0.072414,0.001352,1.9,0.073134,0.000795
格陵兰海,greenland,Atlantic,+NAO,single,0.073551,0.002489,3.5,0.074281,0.000799
中北冰洋,central_arctic,Core,+NAO,single,0.141433,-0.002274,-1.58,0.142673,0.001287
中北冰洋,central_arctic,Core,+AO,single,0.142198,-0.001508,-1.05,0.14338,0.001161
中北冰洋,central_arctic,Core,+PNA,single,0.142622,-0.001085,-0.75,0.143842,0.001342
中北冰洋,central_arctic,Core,纯冰基线,baseline,0.143707,0.0,0.0,0.14515,0.000894
中北冰洋,central_arctic,Core,+Nino3.4,single,0.145871,0.002165,1.51,0.147073,0.001873
