Three-Way LSTM Comparison
Target: Sea Ice Area, Output Length: 12 months
Data period: 1981-2023
============================================================

Metric          Univariate      Bivariate       Trivariate     
------------------------------------------------------------
RMSE (M km²)    0.4751          0.5460          0.6151         
MAE (M km²)     0.3730          0.4270          0.4952         
MAPE (%)        6.1242          6.7781          7.3507         
R² Score        0.9814          0.9754          0.9689         

Monthly RMSE:
Month    Univariate      Bivariate       Trivariate     
1        0.4443          0.3561          0.4478         
2        0.4383          0.4307          0.6280         
3        0.4416          0.5014          0.8138         
4        0.4735          0.5763          0.7808         
5        0.4837          0.6163          0.6963         
6        0.4686          0.6524          0.6030         
7        0.4813          0.7280          0.6205         
8        0.4815          0.6245          0.6026         
9        0.5107          0.5335          0.5558         
10       0.5073          0.4790          0.5603         
11       0.4931          0.4800          0.5019         
12       0.4706          0.4598          0.4493         
