Univariate vs Bivariate LSTM Comparison
Target: Sea Ice Area, Output Length: 12 months
Bivariate params: Optuna-tuned
  hidden=128, layers=1, dropout=0.1, lr=0.003065, batch=8, wd=3.11e-06
============================================================

Metric          Univariate      Bivariate       Improvement    
------------------------------------------------------------
RMSE (M km²)    0.4975          0.5397          -8.5% ↑
MAE (M km²)     0.3982          0.4222          -6.0% ↑
MAPE (%)        6.4307          7.0722          -10.0% ↑
R² Score        0.9798          0.9762          -0.4% ↓

Month    Univariate      Bivariate       Improvement    
-----------------------------------------------------
1        0.3719          0.4558          -22.6%
2        0.4383          0.6202          -41.5%
3        0.5113          0.5068          +0.9%
4        0.5038          0.5657          -12.3%
5        0.5546          0.5456          +1.6%
6        0.6051          0.5603          +7.4%
7        0.5468          0.5805          -6.2%
8        0.5163          0.5376          -4.1%
9        0.4883          0.5153          -5.5%
10       0.4888          0.4906          -0.4%
11       0.4631          0.5287          -14.2%
12       0.4399          0.5498          -25.0%
